===============Stack Overflow Thread Info===============
    No,    Addr, Stack     Start   -End,            State, Prio, Runcount,  Name

===============Thread Info===============
    No,    Addr, Stack     Start   -End,            State, Prio, Runcount,  Name
     1  81C7A634 83FE120C: 00000000 00000000         SUSPENDED     2      1164  System Timer Thread
     2  829BD784 81CFB49C: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP     9         6  RTOS_Manage
     3  829BD8B0 8320A038: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP     0     15097  hisr0
     4  829BD9DC 8320B06C: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP     1      1297  hisr1
     5  829BDB08 8320C0A0: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP     2       116  hisr2
     6  829BDC34 83F2C8A4: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP     1         1  mbox_send_thread
     7  829BDD60 83FB5110: 5A5A5A5A 5A5A5A5A             READY   248      1940  siow_0
     8  829BDE8C 829DC3F0: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   223         1  MS_MTA_RECV
     9  829BDFB8 82A5C608: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   248         1  MTA Task 
    10  829BE0E4 8320D0D4: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   220         7  T_USB_VBUS_HANDLER
    11  829BE210 8320E294: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   220         7  T_USBSERVICE_HANDLER
    12  829BE33C 8320F454: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP     4         1  T_P_CHNG_FREQ
    13  829BE468 8320FD04: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP    75        31  CHGMNG_SRV
    14  829BE594 832106C4: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP    58        14  THERMAL_SRV
    15  829B7640 81DC30B0: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   228         1  TASK_ISP_SERVICE
    16  829BE6C0 8340DA00: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   229         1  T_IMG_DEC
    17  829BE7EC 8340EA80: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   228         1  T_JPEG
    18  829BE918 83210F1C: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   226        13  SCM_TASK
    19  829BEA44 83213A84: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP   248      2664  DSP_LOG_Task
    20  829BEB70 83F5F660: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   218         3  CM4_Dump_Task
    21  829BEC9C 83F5FAD8: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   248         3  CM4_LOG_Task
    22  829BEDC8 83F5FF50: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   218         1  CM4_INFO_NOTIFY
    23  829BEEF4 832162DC: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   200         1  SPRD_CODEC_TASK
    24  829BF020 83216BD4: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   199         1  AUDIO_HAL_TASK
    25  829BF14C 83414B70: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   101         1  T_VOICE_PROCESS
    26  829B569C 83217458: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   215         6  T_CM
    27  829B57C8 83218490: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   216         4  T_DIAG
    28  829B58F4 83FB5780: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP    99         2  T_KPDSVR
    29  829B5B4C 832194C8: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   200         2  T_AUDIO
    30  829B6128 8321A500: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP    68         1  T_TIMESVR
    31  829B6F38 8321B538: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   228      1351  T_P_APP
    32  829BF278 83228570: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   231         5  C
    33  829BF3A4 8322B5A4: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   231        67  D
    34  829BF4D0 8322E5D8: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   231        23  E
    35  829BF5FC 8323160C: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   230         1  FAT_XFIND_TASK
    36  829BF728 83234640: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   229         1  FAT_XMOV_TASK
    37  829BF854 83237674: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   240     15192  WIFISUPP
    38  829BF980 8323A1C4: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   204         4  T_MMISRV_WIFI
    39  829BFAAC 8323CBF4: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   202        43  ssc_t
    40  829BFBD8 8323D444: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP    80         3  ppp_read
    41  829BAFAC 81DC4178: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   249         1  T_P_LOGSAVE
    42  829BFD04 8323E794: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   179         1  T_P_LTE_OM
    43  8201F370 8201F430: 00000000 00000000    SEMAPHORE_SUSP     0         2  HR_HISR
    44  829B8EDC 81DD33A0: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP     3         1  T_P_HPTIMER
    45  829B9260 81DD37A0: 5A5A5A5A 5A5A5A5A         SUSPENDED   250         0  T_P_WL1TRACE
    46  829BFE30 82AF071C: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP   228        17  NVM Idle task
    47  829BFF5C 8323F014: 5A5A5A5A 5A5A5A5A         SUSPENDED    83       715  tcpip_main
    48  829C0088 8324006C: 5A5A5A5A 5A5A5A5A             SLEEP    83       105  tcpip_clock
    49  829BCCF8 829301F4: 5A5A5A5A 5A5A5A5A        EVENT_FLAG   180         1  T_TFT_HAL_MAIN_HANDLER
    50  829C01B4 832410C4: 5A5A5A5A 5A5A5A5A        QUEUE_SUSP    88         1  VtsprNetSocketRecv
    51  829C02E0 82A676B4: 5A5A5A5A 5A5A5A5A    SEMAPHORE_SUSP    88         1  vtspr
